run,policy,instance,total_logs,total_errors,non_fatal,fatal_non_pg,fatal_pg
data1,prototype,1,3419,342,54,100,188
data1,vanilla,2,3419,374,46,89,239
data1,splitkey,2,3419,346,58,100,188
data1,splitkey,1,3419,345,52,101,192
data1,fullblock3p,1,3419,288,62,86,140
data1,fullblock3p,2,3419,292,58,86,148
data1,halfblock3p,2,3419,270,58,73,139
data1,halfblock3p,1,3419,274,63,70,141
data1,vanilla,1,3419,383,57,88,238
data1,prototype,2,3419,344,48,104,192
data2,prototype,1,3419,332,52,109,171
data2,vanilla,2,3419,373,49,84,240
data2,splitkey,2,3419,327,43,107,177
data2,splitkey,1,3419,322,44,104,174
data2,fullblock3p,1,3419,291,54,87,150
data2,fullblock3p,2,3419,272,43,88,141
data2,halfblock3p,2,3419,269,48,70,151
data2,halfblock3p,1,3419,271,51,71,149
data2,vanilla,1,3419,365,48,82,235
data2,prototype,2,3419,319,53,99,167
